SENTENCE	LABEL
I watched TV last week.	simple_past_tense
We ate meat with my best friend yesterday.	simple_past_tense
The bus stopped a few minutes ago.	simple_past_tense
I met my wife  years ago.	simple_past_tense
She left the school in .	simple_past_tense
He bought a new house last month.	simple_past_tense
Did she clean her home?	simple_past_tense
I read an interesting book last month.	simple_past_tense
We did a lot of shopping at the shopping mall.	simple_past_tense
He cut his finger and went to hospital.	simple_past_tense
She finished her work at six o’clock.	simple_past_tense
The rain stopped an hour ago.	simple_past_tense
It discovered a new land.	simple_past_tense
We watched a movie last weekend.	simple_past_tense
We were good friends.	simple_past_tense
You were at station.	simple_past_tense
I went to bed early yesterday.	simple_past_tense
George came home very late last night.	simple_past_tense
I forgot my wallet.	simple_past_tense
He had a dog last year.	simple_past_tense
Last year I traveled to Germany.	simple_past_tense
Two boys played with a ball.	simple_past_tense
An old lady walked with her cat.	simple_past_tense
A nurse brought a little girl baby to the park.	simple_past_tense
An old man sat down and read his book.	simple_past_tense
A large trunk came around the corner.	simple_past_tense
She finished all the exercices.	simple_past_tense
I enrolled to the pilates course.	simple_past_tense
Dr Smith healed the patient.	simple_past_tense
They bought  tickets for the U concert.	simple_past_tense
Michael studied hard all year.	simple_past_tense
Did you play football last day?	simple_past_tense
I missed the class last week.	simple_past_tense
My brother drank a glass of milk  hours ago.	simple_past_tense
They had a meeting with her colleagues.	simple_past_tense
They were students last year.	simple_past_tense
He smoked a cigarrette.	simple_past_tense
They lived in the Spain.	simple_past_tense
Alex changed his place.	simple_past_tense
I liked the film.	simple_past_tense
Did they lose the match?	simple_past_tense
A gardener swept up dead leaves.	simple_past_tense
We listened to music.	simple_past_tense
Where was she at 5o’clock last night?	simple_past_tense
Amelia chose to stay with her father.	simple_past_tense
Mary forgot to turn off the light.	simple_past_tense
I cancelled my meeting for tomorrow.	simple_past_tense
I went to school yesterday.	simple_past_tense
We played basketball last Sunday.	simple_past_tense
We saw the Eiffel Tower.	simple_past_tense
She stayed up all night because she had received bad news.	past_perfect_tense
They lost many of the games because they had not practiced enough.	past_perfect_tense
Anthony had met Ryan before you introduced him to us at the party.	past_perfect_tense
You had studied Italian before you moved to Rome.	past_perfect_tense
She had established her company before 2008.	past_perfect_tense
He had never played football until last week.	past_perfect_tense
They had gotten engaged before last year.	past_perfect_tense
I had fallen asleep before eight o'clock.	past_perfect_tense
The teacher asked if we had studied for the exam.	past_perfect_tense
The usher asked if we had purchased our tickets.	past_perfect_tense
My neighbor asked if we had seen her dog.	past_perfect_tense
The boss had said it would be a long meeting.	past_perfect_tense
We wished we had purchased the winning ticket.	past_perfect_tense
I wished I had told the truth.	past_perfect_tense
She wished she had seen her friend.	past_perfect_tense
The boy wished he had asked another question.	past_perfect_tense
She had just left the scene when the ambulance arrived.	past_perfect_tense
He had just put the dog on the leash when we got there.	past_perfect_tense
The bus had just left when we got to the stop.	past_perfect_tense
I had just gone outside when it started to rain.	past_perfect_tense
I had never seen such a beautiful sunset before I went to the island.	past_perfect_tense
We were not able to stay overnight at the hotel since we had not reserved a room in advance.	past_perfect_tense
She had never been to the symphony before last night.	past_perfect_tense
Marc knew Philadelphia so well because he had lived there for five years.	past_perfect_tense
He understood the math test because he had been tutored all week.	past_perfect_tense
I did not have any cash because I had lost my purse.	past_perfect_tense
I had been to Mexico once before.	past_perfect_tense
If I had seen him, I would have told him the news.	past_perfect_tense
Before he did his homework, he had stayed after school for help.	past_perfect_tense
She had lived in California before moving to Texas.	past_perfect_tense
The cat had chased the bird before it flew out of the yard.	past_perfect_tense
We had just called home when my mom texted us about returning the car.	past_perfect_tense
She had visited several doctors before she found out what the problem was with her hand.	past_perfect_tense
