SENTENCE	LABEL
My son lives in London.	simple_present_tense
She plays basketball.	simple_present_tense
He catches the train every morning.	simple_present_tense
Michael doesn’t work.	simple_present_tense
My father doesn’t speak good English.	simple_present_tense
He goes to football every day.	simple_present_tense
He loves to play basketball.	simple_present_tense
He goes to school.	simple_present_tense
Does he go to school?	simple_present_tense
She writes an e-mail to her best friend.	simple_present_tense
He thinks he is very handsome.	simple_present_tense
It usually rains every day here.	simple_present_tense
It smells very delicious in the kitchen.	simple_present_tense
We generally sing songs all together.	simple_present_tense
We go to a gallery every Sunday.	simple_present_tense
Does he write an email?	simple_present_tense
The sun rises at the east.	simple_present_tense
George brushes her teeth twice a day.	simple_present_tense
He gets up early every day.	simple_present_tense
They speak English in USA.	simple_present_tense
It snows a lot in winter in Russia.	simple_present_tense
We live in Texas.	simple_present_tense
You go to holiday every summer.	simple_present_tense
My daughter does the laundry.	simple_present_tense
My brother takes out the trash.	simple_present_tense
She swims every morning.	simple_present_tense
I don’t wash the dishes.	simple_present_tense
He doesn’t teach math.	simple_present_tense
Cats hate water.	simple_present_tense
Every child likes an icecream.	simple_present_tense
My mother never lies.	simple_present_tense
I don’t like tea.	simple_present_tense
You don’t have children.	simple_present_tense
I and my sister don’t see each other anymore.	simple_present_tense
They don’t go to school tomorrow.	simple_present_tense
My cat runs very fast.	simple_present_tense
Julie talks very fast.	simple_present_tense
My brother’s dog barks a lot.	simple_present_tense
She goes to work by car.	simple_present_tense
It doesn’t rain here in the summer.	simple_present_tense
We cook every day.	simple_present_tense
We go to the gym club together.	simple_present_tense
You have a big house.	simple_present_tense
They sleep in the afternoon.	simple_present_tense
When do they usually talk to each other?	simple_present_tense
The children are at home.	simple_present_tense
I like reading detective stories.	simple_present_tense
I like geography and science.	simple_present_tense
She doesn’t study German on Monday.	simple_present_tense
Does she live in London?	simple_present_tense
I am writing articles on different topics.	present_continous_tense
He is reading various kinds of books.	present_continous_tense
They are playing football now.	present_continous_tense
She is drinking coffee.	present_continous_tense
He is going to the library.	present_continous_tense
We are coming for shopping in this market.	present_continous_tense
We are watching a movie in this Cineplex.	present_continous_tense
You are shopping in that market.	present_continous_tense
I am singing different kinds of songs, especially modern.	present_continous_tense
I am listening to melodious songs.	present_continous_tense
He is traveling around the world.	present_continous_tense
They are playing cricket in that field.	present_continous_tense
The poet is writing romantic poems.	present_continous_tense
The lyricist is writing realistic songs.	present_continous_tense
Are you listening to realistic songs?	present_continous_tense
I am not quarreling with you.	present_continous_tense
Are you coming to our home?	present_continous_tense
I am helping him to do the task.	present_continous_tense
My mom is cooking beef with cabbage.	present_continous_tense
Are you watching cricket on television?	present_continous_tense
She is crying.	present_continous_tense
He is talking to his friend.	present_continous_tense
The baby is sleeping in his crib.	present_continous_tense
We are visiting the museum in the afternoon.	present_continous_tense
He is not standing.	present_continous_tense
Anthony is sitting in the chair.	present_continous_tense
You are not watching the movie.	present_continous_tense
Rose is reading a book.	present_continous_tense
She is not going to the game tonight.	present_continous_tense
He is meeting his friends after school.	present_continous_tense
Are you visiting your cousin this weekend?	present_continous_tense
I am not going to the meeting after work.	present_continous_tense
Is John playing football today?	present_continous_tense
Marc is making pizza now.	present_continous_tense
They are eating lunch right now.	present_continous_tense
Frances is talking on the phone at the moment.	present_continous_tense
Is she laughing?	present_continous_tense
Are they listening to the teacher?	present_continous_tense
Is the baby drinking his bottle?	present_continous_tense
Are you going?	present_continous_tense
